Question,Option A,Option B,Option C,Option D,Correct,Subject,SubCat,Difficulty,Explanation
"Let us campaign for the total ban ____________ of harmful insecticides.",With the use,On using,on the use,with using,on the use,General Education,,,
"“Your statements are IMPERTINENT to the case.” The capitalized word means ______________.",Important,Irrelevant,Violent,malicious,Irrelevant,General Education,,,
"Nelson Mandela realized his dream of a free and non-racial South Africa by forgiving his oppressors and negotiating in good faith. He demonstrated ____________.",Friendliness,Determination,forgiving,loyalty,Determination,General Education,,,
"The main thought of the excerpt from Merchant of Venice regarding mercy is that ___________________",Mercy is only for deserving,Mercy is limited in extent,Mercy is spontaneous and freely given.,Mercy is forced,Mercy is spontaneous and freely given.,General Education,,,
"Who was the first editor of La Solidaridad?",Juan Luna,Graciano Lopez Jaena,Jose Rizal,Marcelo H. Del Pilar,Graciano Lopez Jaena,General Education,,,
"A gardener sprays pesticide, killing all the caterpillars. What can happen to the ecosystem?",The passerine birds will thrive.,The lions will eventually die.,the passerine birds will convert to herbivores.,the lettuce will wilt and die.,The lions will eventually die.,General Education,,,
"What model did student Jk adopt when she reads back and forth, attending to both the mind and the page?",Bottoms-up,Interactive,Down-top,Top-down,Interactive,General Education,,,
"If threat of punishment is necessary on erring students, how should this best be done?",Make the threat and reinforce with warning,Make the threat with immediate punishment,Warn and threat at the same time,First a warning before the threat,First a warning before the threat,General Education,,,
"What degree of moral certitude describes the USA's decision to drop the atomic bomb on Nagasaki?",Doubtful,Perflexed,Certain,Callous,Certain,General Education,,,
"Isang dulog pampatikan na nakapokus sa sariling panlasa ng mambabasa (reader-response theory).",Impresyonista,Patalambuhay,antropolohiya,pansikolohiya,Impresyonista,General Education,,,
"I can’t find ________ calculator; may I use _________, Prince?",My; yours,His; yours,My; his,Yours; mine,My; yours,General Education,,,
"Neither the teacher nor the students ________________ present in the affairs.",Am,Was,Is,Were,Were,General Education,,,
"We admire ___________ when Cynthia speaks English fluently with _______________.",Him; them,Her; us,Him; we,Him; me,Her; us,General Education,,,
"“The figures must be TRANSMUTED in order to understand the grade.” The word means:",Estimated,Surpassed,Changed,Summed,Changed,General Education,,,
"Some preachers suggest the _____________ that the end of the world is near.",Proposal,Prophecy,Prophetic,Prophet,Prophecy,General Education,,,
"Filipino writer whose stories and poems depict Filipino-Spanish cultural beliefs.",Edilberto Tiempo,N.V.M. Gonzales,Bienvenido Santos,Nick Joaquin,Nick Joaquin,General Education,,,
"Tax imposed on all employed and practicing professionals",Income tax,Community tax,Real estate tax,Inheritance tax,Income tax,General Education,,,
"Who is known as the “Father of the Local Government Code”?",Joey Lina,Jovito Salonga,Joseph Estrada,Aquilino Pimentel,Aquilino Pimentel,General Education,,,
"What is the term to best describe how an ant colony species copes with everyday life?",Ecological defeat,Ecological success,Environmental habitation,Ecological niche,Ecological niche,General Education,,,
"If a die is rolled, what is the probability of getting a number divisible by 2?",1/2,1/3,1/4,1/6,1/2,General Education,,,
"How long will it take A (6 days) and B (3 days) together to finish a job?",2 1/2 days,3 days,2 days,3 1/2 days,2 days,General Education,,,
"Maternity leaves are extended to women. What legal provision extends this?",Article XIV Education,Article XIII Sec 14 women,Article XIII Role and Rights,Article XII Bill of Rights,Article XIII Sec 14 women,General Education,,,
"Which is the largest country in Asia?",China,Japan,Philippines,Thailand,China,General Education,,,
"What is one of the man-made wonders of the Philippines?",Rice terraces,Mount Makiling,Manila Bay,Taal Volcano,Rice terraces,General Education,,,
"Who was the priest who first led the native secular clergy in the Secularization Movement (1861)?",Father Jacinto Zamora,Father Pedro Pelaez,Father Gregorio Aglipay,Father Jose Burgos,Father Pedro Pelaez,General Education,,,
"Analects which treat of moral values and good human relation are attributed to:",Mao Tze Tung,Mencius,Confucius,Lao-Tzu,Confucius,General Education,,,
"Which of the following happened first in Philippine History?",Aguinaldo declared Independence,Guerilla warfare began,Treaty of Paris,Aguinaldo was captured,Aguinaldo declared Independence,General Education,,,
"The acronym HTML means Hyper Text Mark-up ____________.",Line,Language,Letter,Label,Language,General Education,,,
"The fraction halfway between 3/7 and 4/7 is ________________.",1/2,1/3,1/4,1/8,1/2,General Education,,,
"Simplify (3x – 9) / (x^2 – 9)",3 / (x – 3),3 / (x + 1),3 / (x + 3),3 / (x – 1),3 / (x + 3),General Education,,,
"Which form of government was implemented during the Marcos regime with the Batasang Pambansa?",Monarchial,Presidential,Parliamentary,Dictatorial,Parliamentary,General Education,,,
"The “Rubaiyat” has this general theme:",Always look forward,Grasp pleasure while you can,Never give in to death,Create your own world,Grasp pleasure while you can,General Education,,,
"This demonstrated the feeding connections between all life forms.",Nutrition cycles,Fossil cycle,Biochemical pathways,Food web,Food web,General Education,,,
"A toothpick can sit on the surface of water due to _________________.",Surface tension,Atmospheric pressure,Buoyancy,Viscosity,Surface tension,General Education,,,
"In a flame test, the presence of boron is evident by what color of flame?",Bright green,Brick red,Gold,Lilac,Bright green,General Education,,,
"Who was the last Spanish Governor-General of the Philippines?",Ramon Blanco,Basilio Agustin,Diego de los Rios,Fermin Jaudenes,Diego de los Rios,General Education,,,
"One of the pledges of the President of the Philippines is to defend its:",Constitution,Citizens,Land,Islands,Constitution,General Education,,,
"The least common Multiple (LCM) of 2, 3 and 4 is ______.",13,24,14,12,12,General Education,,,
"Which has the smallest mass when measured in an equal arm balance?",1/2 sheet,1/4 sheet,1/8 sheet,1/3 sheet,1/8 sheet,General Education,,,
"How many 150 cu cm glasses can be filled from 5 bottles of 1.5 liters each?",60,40,45,50,50,General Education,,,
"If the average of x and -5 is 10, what is the value of x?",25,15,30,20,25,General Education,,,
"What is the median score of: 10, 15, 12, 18, 16, 24, 12, 14?",14,15.5,14.5,15,14.5,General Education,,,
